w_MAPE,w_CV,w_TrainTime,w_ModelSize,w_Robust,Design 1: Linear Regression,Design 2: Random Forest,Design 3: Gradient Boosting,Winner
0.250,0.225,0.200,0.175,0.150,5.725,5.0152,8.2461,Design 3: Gradient Boosting
0.250,0.225,0.200,0.150,0.175,5.725,5.0196,8.0291,Design 3: Gradient Boosting
0.250,0.225,0.175,0.200,0.150,5.725,5.0152,8.2815,Design 3: Gradient Boosting
0.250,0.225,0.175,0.150,0.200,5.725,5.024,7.8476,Design 3: Gradient Boosting
0.250,0.225,0.150,0.200,0.175,5.725,5.0196,8.0999,Design 3: Gradient Boosting
0.250,0.225,0.150,0.175,0.200,5.725,5.024,7.883,Design 3: Gradient Boosting
0.250,0.200,0.225,0.175,0.150,5.95,4.8195,8.2026,Design 3: Gradient Boosting
0.250,0.200,0.225,0.150,0.175,5.95,4.8238,7.9857,Design 3: Gradient Boosting
0.250,0.200,0.175,0.225,0.150,5.95,4.8195,8.2734,Design 3: Gradient Boosting
0.250,0.200,0.175,0.150,0.225,5.95,4.8326,7.6226,Design 3: Gradient Boosting
0.250,0.200,0.150,0.225,0.175,5.95,4.8238,8.0918,Design 3: Gradient Boosting
0.250,0.200,0.150,0.175,0.225,5.95,4.8326,7.658,Design 3: Gradient Boosting
0.250,0.175,0.225,0.200,0.150,6.175,4.6237,8.1946,Design 3: Gradient Boosting
0.250,0.175,0.225,0.150,0.200,6.175,4.6325,7.7607,Design 3: Gradient Boosting
0.250,0.175,0.200,0.225,0.150,6.175,4.6237,8.23,Design 3: Gradient Boosting
0.250,0.175,0.200,0.150,0.225,6.175,4.6368,7.5791,Design 3: Gradient Boosting
0.250,0.175,0.150,0.225,0.200,6.175,4.6325,7.8668,Design 3: Gradient Boosting
0.250,0.175,0.150,0.200,0.225,6.175,4.6368,7.6499,Design 3: Gradient Boosting
0.250,0.150,0.225,0.200,0.175,6.4,4.4324,7.9696,Design 3: Gradient Boosting
0.250,0.150,0.225,0.175,0.200,6.4,4.4367,7.7526,Design 3: Gradient Boosting
0.250,0.150,0.200,0.225,0.175,6.4,4.4324,8.005,Design 3: Gradient Boosting
0.250,0.150,0.200,0.175,0.225,6.4,4.4411,7.5711,Design 3: Gradient Boosting
0.250,0.150,0.175,0.225,0.200,6.4,4.4367,7.8234,Design 3: Gradient Boosting
0.250,0.150,0.175,0.200,0.225,6.4,4.4411,7.6065,Design 3: Gradient Boosting
0.225,0.250,0.200,0.175,0.150,5.725,4.9882,8.2461,Design 3: Gradient Boosting
0.225,0.250,0.200,0.150,0.175,5.725,4.9926,8.0291,Design 3: Gradient Boosting
0.225,0.250,0.175,0.200,0.150,5.725,4.9882,8.2815,Design 3: Gradient Boosting
0.225,0.250,0.175,0.150,0.200,5.725,4.9969,7.8476,Design 3: Gradient Boosting
0.225,0.250,0.150,0.200,0.175,5.725,4.9926,8.0999,Design 3: Gradient Boosting
0.225,0.250,0.150,0.175,0.200,5.725,4.9969,7.883,Design 3: Gradient Boosting
0.225,0.200,0.250,0.175,0.150,6.175,4.5967,8.1592,Design 3: Gradient Boosting
